DATE,TB3MS
2019-11-01,1.54
2019-12-01,1.54
2020-01-01,1.52
2020-02-01,1.52
2020-03-01,0.29
2020-04-01,0.14
2020-05-01,0.13
2020-06-01,0.16
2020-07-01,0.13
2020-08-01,0.10
2020-09-01,0.11
2020-10-01,0.10
2020-11-01,0.09
2020-12-01,0.09
2021-01-01,0.08
2021-02-01,0.04
2021-03-01,0.03
2021-04-01,0.02
2021-05-01,0.02
2021-06-01,0.04
2021-07-01,0.05
2021-08-01,0.05
2021-09-01,0.04
2021-10-01,0.05
2021-11-01,0.05
2021-12-01,0.06
2022-01-01,0.15
2022-02-01,0.33
2022-03-01,0.44
2022-04-01,0.76
2022-05-01,0.98
2022-06-01,1.49
2022-07-01,2.23
2022-08-01,2.63
2022-09-01,3.13
2022-10-01,3.72
2022-11-01,4.15
2022-12-01,4.25
2023-01-01,4.54
2023-02-01,4.65
2023-03-01,4.69
2023-04-01,4.92
2023-05-01,5.14
2023-06-01,5.16
2023-07-01,5.25
2023-08-01,5.30
2023-09-01,5.32
2023-10-01,5.34
2023-11-01,5.27
2023-12-01,5.24
2024-01-01,5.22
2024-02-01,5.24
2024-03-01,5.24
